"","x"
"223","120_Icemaker                                 "
"224","120_Landscaping- final 50%                   "
"225","120_Landscaping contract-50% dwn             "
"226","120_Lanscaping                               "
"227","120_mailbox locks                            "
"228","120_Membrane Roofing                         "
"229","120_Microwave                                "
"230","120_new d/w                                  "
"231","120_new dishwasher                           "
"232","120_new frig w/ ice                          "
"233","120_new ranges #121                          "
"234","120_new waser                                "
"235","120_new washer                               "
"236","120_Offic/Clubroom Furniture                 "
"237","120_Office duct work                         "
"238","120_Office Equipment                         "
"239","120_Office/Clubroom Furniture                "
"240","120_Parking Lot Repairs                      "
"241","120_Paving &Marking                          "
"242","120_Plenum @office -Clean out                "
"243","120_Plumbing                                 "
"244","120_Pro Temp on boilers                      "
"245","120_Purchas 1.5 ton seer condenser           "
"246","120_Purchased-dishwasher                     "
"247","120_Range                                    "
"248","120_Range & Hood                             "
"249","120_Range/Ventahood                          "
"250","120_Range/Venthood                           "
"251","120_Ranges-2- 3326 2218                      "
"252","120_Ranges                                   "
"253","120_refrigerator                             "
"254","120_Refrigerator                             "
"255","120_Refrigerator & icemaker                  "
"256","120_Refrigerator &Icemaker                   "
"257","120_Refrigerator/Icemaker                    "
"258","120_Refrigerators                            "
"259","120_Refrigerators & icemakers-2              "
"260","120_Refrigrator/Icemaker                     "
"261","120_Replace-air supply plenum                "
"262","120_replace circlulator                      "
"263","120_Replacmnt of phone unit                  "
"264","120_Restriping-labor/materials               "
"265","120_Retaining wall repair                    "
"266","120_Sewer lines Unit #716                    "
"267","120_Stove and vent hoods                     "
"268","120_Supervision                              "
"269","120_Supervision 1/08                         "
"270","120_Supervision 2/08                         "
"271","120_Supervision 3/08                         "
"272","120_Supervision 4/08                         "
"273","120_Supervision 5/08                         "
"274","120_Supervision 6/08                         "
"275","120_Supervison                               "
"276","120_Update 1 Bedroom Model                   "
"277","120_Ventahood                                "
"278","120_washer                                   "
"279","120_Washer                                   "
"280","120_Washer &Dryer                            "
"281","120_Washer/dryer                             "
"282","120_Washer/Dryer                             "
"283","120_Washers-2                                "
"284","120_Washers-3                                "
"285","120_Washers                                  "
"286","120_Washers  & Dryers                        "
"287","120_Washers and                              "
"288","120_Washers/Dryers                           "
"289","120_Water Distribution                       "
"290","120_Water Distribution System                "
"291","120_Wood flooring @office                    "
"292","120_Wood Stair                               "
"293","13 Seer 1.5 Ton Condenser                    "
"294","13 Seer 2.0 Ton Air Handler                  "
"295","15 Gallons of Paint                          "
"296","15.6 Cu Ft Fridge White                      "
"297","150-DISHWASHER 113                           "
"298","150-REFRIGERATOR                             "
"299","150    C_Gutter & Downspouts                 "
"300","150    C_Landscaping                         "
"301","150    C_Shingles & Roofing Tiles            "
"302","150    C_Supervision                         "
"303","150    C_Wood Stair Assemblies               "
"304","150_102-15 DISHWASH                          "
"305","150_103-11 WASHER/DRYER                      "
"306","150_105-4 WASHER                             "
"307","150_107-13 REFRIGER                          "
"308","150_108-2 HEAT PUMP                          "
"309","150_110-20 NEW RANGE                         "
"310","150_112-14 W/D STAC                          "
"311","150_113-20 RANGE &                           "
"312","150_113-3 DISHWASHE                          "
"313","150_114-2 WASHER                             "
"314","150_114-3 WATER HEA                          "
"315","150_13 SEER 107-3                            "
"316","150_13 seer a/c unit 105-B                   "
"317","150_13 seer air handler                      "
"318","150_13 SEER HEAT PU                          "
"319","150_13 seer heat pump                        "
"320","150_13 ton                                   "
"321","150_2 dishwashers                            "
"322","150_2 ranges                                 "
"323","150_2 TON HEAT PUMP                          "
"324","150_2 washer/dryers                          "
"325","150_2 water heaters                          "
"326","150_2 WATER HEATERS                          "
"327","150_3 Dishwashers                            "
"328","150_3 washer                                 "
"329","150_3 water heaters                          "
"330","150_4 A/C Units                              "
"331","150_4 water heaters                          "
"332","150_5.0 ton unit for office                  "
"333","150_A/C 13 SEER HEAT PU                      "
"334","150_A/C 13 SEER HEAT PUMP                    "
"335","150_AC Units                                 "
"336","150_Alarm System Mother Board                "
"337","150_Appraisal-LC                             "
"338","150_BLEACH 6                                 "
"339","150_C_Irrigation System                      "
"340","150_C_Perimeter Fencing                      "
"341","150_C_Roof Replacement                       "
"342","150_C_Supervision                            "
"343","150_C_Wood Stair Assemblies                  "
"344","150_change out 12 section meter              "
"345","150_CURB REPAIRS                             "
"346","150_dirt excavation                          "
"347","150_dishwasher                               "
"348","150_Dishwasher                               "
"349","150_DISHWASHER                               "
"350","150_dishwasher &                             "
"351","150_DISHWASHER 102-                          "
"352","150_DISHWASHER 103-                          "
"353","150_dishwasher 107                           "
"354","150_DISHWASHER 110-                          "
"355","150_dishwasher 114                           "
"356","150_DP for pool gutter restoration           "
"357","150_Dryer                                    "
"358","150_DRYER                                    "
"359","150_DRYER & CORD                             "
"360","150_DRYER (2) AND (                          "
"361","150_dryer 112-14 washer 113-6                "
"362","150_Dryers                                   "
"363","150_E_Air Conditioning & Heat                "
"364","150_E_Dishwasher                             "
"365","150_E_Miscellaneous Asset Replacements       "
"366","150_E_Range/Ventahood                        "
"367","150_E_Refrigerator/Icemaker                  "
"368","150_E_Washer/Dryer                           "
"369","150_E_Water Heaters                          "
"370","150_elec heat kit                            "
"371","150_Elliptical for fitness room              "
"372","150_emergency tree trimming                  "
"373","150_ENGINE OIL                               "
"374","150_EPOXY SPRAY PAI                          "
"375","150_F_Amenity Replacements                   "
"376","150_F_Office Equipment                       "
"377","150_final payment for pool gutter            "
"378","150_FITNESS CENTER Floor                     "
"379","150_Fitness center re-roof                   "
"380","150_fitness equipment                        "
"381","150_FRIDGE & ICEMAK                          "
"382","150_Frig & Icemaker                          "
"383","150_FRONT ENTRANCE                           "
"384","150_GRATE FOR PARKI                          "
"385","150_heat pump                                "
"386","150_HEAT PUMP                                "
"387","150_HEAT PUMP 110-7                          "
"388","150_HEAT PUMP/STOCK                          "
"389","150_HEAT PUMPS                               "
"390","150_HVAC                                     "
"391","150_ICE MAKER                                "
"392","150_icemaker                                 "
"393","150_ICEMAKER KIT 1                           "
"394","150_install retaining wall                   "
"395","150_Installing plants/sod @prop              "
"396","150_interior painting                        "
"397","150_Irrigation repairs-Zone #1               "
"398","150_KILZ CASE                                "
"399","150_Loan Costs                               "
"400","150_Mirrors for Fitness Room                 "
"401","150_Motorola Radios                          "
"402","150_POOL DECK PAINT                          "
"403","150_Pool pump repairs                        "
"404","150_printer and flat sc                      "
"405","150_R-22 REFRIGERAN                          "
"406","150_RACQUETBALL COURT                        "
"407","150_range                                    "
"408","150_Range                                    "
"409","150_range & hood 10 & 11                     "
"410","150_RANGE & HOOD 11                          "
"411","150_RANGE 105-9                              "
"412","150_range 112-24                             "
"413","150_Range and                                "
"414","150_range and hood                           "
"415","150_Range Hood                               "
"416","150_RANGE HOOD 114-                          "
"417","150_Range/Hood                               "
"418","150_RANGE/VENTAHOOD                          "
"419","150_RANGEHOOD 108-2                          "
"420","150_REBUILD BACK FLOW                        "
"421","150_Refriderators                            "
"422","150_REFRIG. & ICEMA                          "
"423","150_REFRIG. ICE MAK                          "
"424","150_REFRIG. ICEMAKER                         "
"425","150_REFRIG/ICEMAKER                          "
"426","150_Refrigerant Recovery System              "
"427","150_refrigerator                             "
"428","150_Refrigerator                             "
"429","150_REFRIGERATOR                             "
"430","150_REFRIGERATOR &                           "
"431","150_REFRIGERATOR 10                          "
"432","150_refrigerator icemaker                    "
"433","150_REFRIGERATOR/IC                          "
"434","150_REFRIGERATOR/ICEMAKER                    "
"435","150_removal of dead trees                    "
"436","150_repair handrails                         "
"437","150_repair skylights                         "
"438","150_Repairs- sidewalks                       "
"439","150_Replace Sidewall                         "
"440","150_Roof Repair                              "
"441","150_SCANNER                                  "
"442","150_sealcoat and stripe                      "
"443","150_SIDEWALK REPAIR                          "
"444","150_stack rack                               "
"445","150_STACK RACK                               "
"446","150_stair stringers repair and labor         "
"447","150_supervision                              "
"448","150_Supervision                              "
"449","150_Supervision Fee                          "
"450","150_Supervisory                              "
"451","150_Tennis Screen                            "
"452","150_Timming Service-trees/stumps             "
"453","150_Tree removal service-Aug07               "
"454","150_Tree trimming                            "
"455","150_Trench Drain Installation                "
"456","150_trim trees throughout                    "
"457","150_TWO  WATER HEATERS                       "
"458","150_W/D & Rack System                        "
"459","150_wall replacemnt fitness room             "
"460","150_washer                                   "
"461","150_Washer                                   "
"462","150_washer & dryer                           "
"463","150_washer 102-9                             "
"464","150_WASHER 108-3                             "
"465","150_WASHER 110-8                             "
"466","150_WASHER 112-3                             "
"467","150_washer 113-6                             "
"468","150_washer dryer                             "
"469","150_WASHER DRYER                             "
"470","150_washer dryer stack rack cord             "
"471","150_washer/dryer                             "
"472","150_Washer/Dryer                             "
"473","150_WASHER/DRYER &                           "
"474","150_WASHER/DRYER 11                          "
"475","150_Washer/Dryers                            "
"476","150_WASHWER/DRYER 102-16 112-14 112          "
"477","150_water heater                             "
"478","150_Water Heater                             "
"479","150_WATER HEATER                             "
"480","150_WATER HEATER 10                          "
"481","150_WATER HEATER 11                          "
"482","150_Water Heaters                            "
"483","150_WATER HEATERS                            "
"484","150_WATER HEATERS 2                          "
"485","150_WATERHEATER 105                          "
"486","1512F Wallpaper                              "
"487","16.6 Cu Ft Refrigerator                      "
"488","16.6 CU Ft Refrigerator                      "
"489","166-Washer/Dryer                             "
"490","166    C_Architectural Woodwork              "
"491","166    C_Brick                               "
"492","166    C_Brick & Foundation Repairs          "
"493","166    C_Carpet                              "
"494","166    C_Ceramic Tile & Tub Chips            "
"495","166    C_Compactor Pads/Enclosures           "
"496","166    C_Concrete Masonry Units              "
"497","166    C_Erosion Control                     "
"498","166    C_Exterior Doors                      "
"499","166    C_Exterior Painting                   "
"500","166    C_Exterior Siding                     "
"501","166    C_Gutter & Downspouts                 "
"502","166    C_Insurance Claims                    "
"503","166    C_Irrigation System                   "
"504","166    C_Lum Sum Mailhouses                  "
"505","166    C_Lum Sum Office Improvements         "
"506","166    C_Metal Fabrications                  "
"507","166    C_Ornametal Metals                    "
"508","166    C_Perimeter Fencing                   "
"509","166    C_Shingles & Roofing Tiles            "
"510","166    C_Structural Precast Concrete         "
"511","166    C_Supervision                         "
"512","166    C_Termite Treatment                   "
"513","166    E_Appliances                          "
"514","166    E_Signs                               "
"515","166    F_Furnishings                         "
"516","166 _Hot water Heater                        "
"517","166_ Water Heater                            "
"518","166_#222 REPL WATER HEATERS                  "
"519","166_#238 REFRIG                              "
"520","166_#318-water heat                          "
"521","166_#813 FULL SET O                          "
"522","166_#814 washer dry                          "
"523","166_2 2.5 Ton A/C units                      "
"524","166_2 A/C Units                              "
"525","166_2 REFRIGERTOR-1                          "
"526","166_2 Water Heaters                          "
"527","166_2 WAY RADIOS  4                          "
"528","166_7/07 Supervison                          "
"529","166_A/C Unit                                 "
"530","166_AC Units                                 "
"531","166_AIR CONDTIONING                          "
"532","166_C_Concrete Pool Deck                     "
"533","166_C_Insurance Claims                       "
"534","166_C_Shingles & Roofing Tiles               "
"535","166_C_Supervision                            "
"536","166_Concrete Pavement Repair                 "
"537","166_Condenser unit                           "
"538","166_Const. Supervision                       "
"539","166_Constr. Travel                           "
"540","166_Copier fax scanner                       "
"541","166_Dishwasher                               "
"542","166_DISHWASHER                               "
"543","166_Dishwashers-2                            "
"544","166_Dishwashers                              "
"545","166_Dishwaster                               "
"546","166_drainage impmts bldg 4 #415              "
"547","166_drainage improvements bldg 1             "
"548","166_Drainage improvemnt-Bldg 11              "
"549","166_Draw #2 on renovaton-Unit fire           "
"550","166_Draw 1-renov on Unit fire                "
"551","166_Draw fr drainage                         "
"552","166_E_Dishwasher                             "
"553","166_E_HVAC                                   "
"554","166_E_Range/Ventahood                        "
"555","166_E_Refrigerator/Icemaker                  "
"556","166_E_Washer/Dryer                           "
"557","166_E_Water Heaters                          "
"558","166_Erosion control blg 7&8                  "
"559","166_Erosion Control Rehab                    "
"560","166_Exterior Siding                          "
"561","166_F_Amenity Replacements                   "
"562","166_F_Furnishings                            "
"563","166_F_Outdoor Furniture                      "
"564","166_Facebrick repairs                        "
"565","166_Field Supervision                        "
"566","166_Fire Alarm Replcmts                      "
"567","166_Fire alarm System bldg 1                 "
"568","166_FRIDGE                                   "
"569","166_garbage disposa                          "
"570","166_Gate Repair                              "
"571","166_Gate Upgrades                            "
"572","166_hood vent                                "
"573","166_hot water heater                         "
"574","166_Hot water heater                         "
"575","166_Hot Water Heater                         "
"576","166_HOT WATER HEATER                         "
"577","166_Hot Water Heaters                        "
"578","166_Ins Claim Carpet Repl Mildew             "
"579","166_Install new cart shshed Maint            "
"580","166_Install Property Sign                    "
"581","166_Insurance Claim #1136                    "
"582","166_Landscaping                              "
"583","166_landscaping upgrade throughout           "
"584","166_Lighting & Gated fence added             "
"585","166_Loan cost-Legal Services                 "
"586","166_Loan Costs-Survey                        "
"587","166_Loan Costs                               "
"588","166_Loan costs (app fee)                     "
"589","166_Mold unit final pymnt & firepl           "
"590","166_Monument Sign                            "
"591","166_New Gate Exit                            "
"592","166_Parking lot &sidewalk repairs            "
"593","166_Parking Lot Repair and Striping          "
"594","166_Pavemnt markings/power wash              "
"595","166_R. Wooten Travel Exp                     "
"596","166_Range                                    "
"597","166_Range & Hood                             "
"598","166_Range & Venthood                         "
"599","166_Range 1113                               "
"600","166_Range hood                               "
"601","166_Range Hood                               "
"602","166_RANGE VENT-A-H                           "
"603","166_Range vent hood                          "
"604","166_Range Vent/Hood                          "
"605","166_Range/HoodVent                           "
"606","166_Range/Ventahood                          "
"607","166_Range/Venthood                           "
"608","166_Refigerator/Icemaker                     "
"609","166_Refridgerator                            "
"610","166_Refrigerator                             "
"611","166_Refrigerator/Icemaker                    "
"612","166_Refrigerators                            "
"613","166_Rehab Elec Material/Labor                "
"614","166_Remodel Laundry center                   "
"615","166_Repairs to Hot tub plumbing              "
"616","166_SILICONE SPRAY                           "
"617","166_SMOKE ALARMS                             "
"618","166_stove                                    "
"619","166_Stove                                    "
"620","166_Supervision                              "
"621","166_Supervision 11/09                        "
"622","166_Supervision 1207                         "
"623","166_Supervision 2/08                         "
"624","166_Supervision 5/08                         "
"625","166_Supervision 5/08 adj                     "
"626","166_Supervision 9/08                         "
"627","166_Supervision Fee                          "
"628","166_Supervison                               "
"629","166_Supervison 12/08                         "
"630","166_Treadmill                                "
"631","166_Venta Hood                               "
"632","166_Washer-735                               "
"633","166_washer                                   "
"634","166_Washer                                   "
"635","166_Washer & Dryer                           "
"636","166_washer and dryer                         "
"637","166_Washer and Dryer                         "
"638","166_WASHER AND DRYER                         "
"639","166_Washer Dryer                             "
"640","166_washer/dryer                             "
"641","166_Washer/dryer                             "
"642","166_Washer/Dryer                             "
"643","166_Washer/Dryer Hose                        "
"644","166_Washers-2                                "
"645","166_water heater                             "
"646","166_Water heater                             "
"647","166_Water Heater                             "
"648","166_WATER HEATER                             "
"649","166_water heaters-2                          "
"650","166_Water Heaters-3                          "
"651","166_Water heaters                            "
"652","166_Water Heaters                            "
"653","17A Refrigerato                              "
"654","180    C_Bifold/Bypass Doors                 "
"655","180    C_Cabinets & Vanities                 "
"656","180    C_Carpet                              "
"657","180    C_Daily Labor                         "
"658","180    C_Erosion Control                     "
"659","180    C_Exterior Doors                      "
"660","180    C_Exterior Painting                   "
"661","180    C_Exterior Siding                     "
"662","180    C_Finish Carpentry                    "
"663","180    C_Finish Hardware                     "
"664","180    C_Glazing & Mirrors                   "
"665","180    C_Gutter & Downspouts                 "
"666","180    C_Gypsum Board                        "
"667","180    C_Interior Doors                      "
"668","180    C_Interior Painting                   "
"669","180    C_Lum Sum Office Improvements         "
"670","180    C_Lump Sum Tennis Court               "
"671","180    C_Paving & Marking                    "
"672","180    C_Perimeter Fencing                   "
"673","180    C_Plumbing                            "
"674","180    C_Pools & Fountains                   "
"675","180    C_Resilient Flooring                  "
"676","180    C_Sanitary Sewer Systems              "
"677","180    C_Supervision                         "
"678","180    E_Appliances                          "
"679","180    E_Dishwashers                         "
"680","180    E_HVAC                                "
"681","180    E_Ranges                              "
"682","180    E_Refrigerators                       "
"683","180    E_Signs                               "
"684","180    E_Water Heaters                       "
"685","180    F_Lighting & Fixtures                 "
"686","180    F_Window Coverings                    "
"687","180 _Air Conditioning                        "
"688","180_ 3 water heaters                         "
"689","180_ Air conditioner apt 180                 "
"690","180_ air conditioner apt 195                 "
"691","180_ Air Handler                             "
"692","180_ Air Handler 2                           "
"693","180_ dishwasher                              "
"694","180_ Lift Station                            "
"695","180_ Range/ Venthood Apt 222                 "
"696","180_# 25 range                               "
"697","180_#1 #88 #40 cond units                    "
"698","180_#232 Stove repl                          "
"699","180_#239 refrigerator                        "
"700","180_#265 Install Water Heater                "
"701","180_#276 inst kitchen cab & bath vantys      "
"702","180_#61Removed old system                    "
"703","180_#8 replace refr                          "
"704","180_1.5 ton & 2.5 Condensors                 "
"705","180_1.5 ton condensor                        "
"706","180_1.5 ton seer condensor                   "
"707","180_13 seer 2.5 ton                          "
"708","180_13 seer 2.5 ton air handler              "
"709","180_132 air handler                          "
"710","180_148 air handler                          "
"711","180_149 Air handler                          "
"712","180_2 air handlers                           "
"713","180_2 bath 2 kit plumbing fixtures           "
"714","180_2 dishwasher                             "
"715","180_2 range hoods                            "
"716","180_2 refrigerators #249 #177                "
"717","180_2 water heaters                          "
"718","180_2.0 ton condensor                        "
"719","180_2.5 air handler                          "
"720","180_2.5 goodman con                          "
"721","180_203 dishwasher                           "
"722","180_25 range                                 "
"723","180_250 air handler                          "
"724","180_275 air handler                          "
"725","180_28 cond unit                             "
"726","180_2nd and final pymnts for install         "
"727","180_2Ton air condit                          "
"728","180_3 ton air handler                        "
"729","180_3 Ton Condenser                          "
"730","180_3 Water Heaters                          "
"731","180_30GAL Hot water                          "
"732","180_50 air handler                           "
"733","180_A/C                                      "
"734","180_A/C 3 Condensers                         "
"735","180_A/C 4 air handlers                       "
"736","180_A/C unit                                 "
"737","180_AC & Heat                                "
"738","180_AC & Heat Apt 149                        "
"739","180_ac unit # 59                             "
"740","180_Air cond & Heat Apt 62                   "
"741","180_Air condition & Heat Apt 103             "
"742","180_Air conditioner                          "
"743","180_air conditioner apt 126                  "
"744","180_air filters ac                           "
"745","180_air handler                              "
"746","180_Air handler                              "
"747","180_Air Handler                              "
"748","180_Air handler #249 less credit #245        "
"749","180_air handler & ccondesor                  "
"750","180_Air Handler Apt 102                      "
"751","180_air handler apt 123                      "
"752","180_air handler Apt 172                      "
"753","180_air handler Apt 248                      "
"754","180_air handler apt 253                      "
"755","180_air handler apt 65                       "
"756","180_air handler cp                           "
"757","180_Air Handlers                             "
"758","180_appliances units 7 15 61 123             "
"759","180_Appraisal-LC                             "
"760","180_Apt 108 range                            "
"761","180_apt 232 air handler                      "
"762","180_apt#284                                  "
"763","180_Apt65 Water Heater                       "
"764","180_Bldg Re-pipe                             "
"765","180_bleach glade                             "
"766","180_built in dishwasher                      "
"767","180_C_Carpet                                 "
"768","180_C_Ceramic Tile & Tub Chips               "
"769","180_C_Daily Labor                            "
"770","180_C_HVAC                                   "
"771","180_C_Interior Doors                         "
"772","180_C_Interior Painting                      "
"773","180_C_Lump Sum Laundry                       "
"774","180_C_Parking Lot                            "
"775","180_C_Plumbing                               "
"776","180_C_Sanitary Sewer Systems                 "
"777","180_C_Site Lighting                          "
"778","180_C_Supervision                            "
"779","180_C_Tree Removal                           "
"780","180_Carpet Replacement                       "
"781","180_Chairs & Picture                         "
"782","180_clean gutters & downspouts               "
"783","180_cond & air Hand                          "
"784","180_cond unit # 183                          "
"785","180_condenser                                "
"786","180_condenser #249                           "
"787","180_condenser #46                            "
"788","180_condenser #59                            "
"789","180_condenser unit                           "
"790","180_Condensor                                "
"791","180_control panel for lift station           "
"792","180_Deck                                     "
"793","180_Decks                                    "
"794","180_dishwasher                               "
"795","180_Dishwasher                               "
"796","180_Dishwasher 2                             "
"797","180_dishwashers                              "
"798","180_Dishwashers                              "
"799","180_Diswashers                               "
"800","180_drywall joint c                          "
"801","180_E_Air Conditioning & Heat                "
"802","180_E_Dishwasher                             "
"803","180_E_Miscellaneous Asset Replacements       "
"804","180_E_Range/Ventahood                        "
"805","180_E_Refrigerator/Icemaker                  "
"806","180_E_Signs                                  "
"807","180_E_Washer/Dryer                           "
"808","180_Elec Power Transmission                  "
"809","180_Electric furnan                          "
"810","180_electric stove                           "
