assetno,descr,svcdate,cost,boyaccumdepr,depr2013,yecccumdepr,taxnbv,deprmeth,life,propno,group,yearsinsvc,remyears,diminimusnbv,supervision,suprnbv
87,Total tape back up                           ,1/13/1999,2690.05,2535.10,0.00,2535.10,154.95,200DB,5.0,105,Equipment,14.98,-9.98,0.00,N,0.00
94,4000 HP printer for accounting               ,5/12/1999,1593.66,1593.66,0.00,1593.66,0.00,200DB,5.0,105,Equipment,14.65,-9.65,0.00,N,0.00
95,HP Laserjet 2100 Printer                     ,5/18/1999,865.56,865.56,0.00,865.56,0.00,200DB,5.0,105,Equipment,14.63,-9.63,0.00,N,0.00
99,2 Paintings by Robert Schott                 ,4/21/1997,3600.00,0.00,0.00,0.00,3600.00,Memo,0.0,105,Artwork,16.71,-16.71,0.00,N,0.00
100,3 painting 1 poster framed                   ,7/23/1997,1094.77,0.00,0.00,0.00,1094.77,Memo,0.0,105,Artwork,16.45,-16.45,0.00,N,0.00
101,3 local artworks framed                      ,1/21/1997,914.85,0.00,0.00,0.00,914.85,Memo,0.0,105,Artwork,16.95,-16.95,0.00,N,0.00
102,2 pictures                                   ,2/4/1998,946.95,0.00,0.00,0.00,946.95,Memo,0.0,105,Artwork,15.92,-15.92,0.00,N,0.00
138,Desoto lot                                   ,12/5/2001,127719.83,0.00,0.00,0.00,127719.83,Land,0.0,105,Land,12.08,-12.08,0.00,N,0.00
168,Lateral File Cabinets                        ,1/21/2003,609.90,609.90,0.00,609.90,0.00,200DB,7.0,105,Furniture & Fixtures,10.95,-3.95,0.00,N,0.00
188,File Cabinets                                ,6/30/2004,1967.67,1967.67,0.00,1967.67,0.00,200DB,7.0,105,Furniture & Fixtures,9.51,-2.51,0.00,N,0.00
200,Bathroom Floor Tile Replacement              ,2/1/2012,8155.38,259.49,296.56,556.05,7599.33,S/L,27.5,105,Capital Improvements,1.92,25.58,0.00,N,0.00
207,Fax/Scanner Houston                          ,6/30/2005,533.78,533.78,0.00,533.78,0.00,200DB,5.0,105,Equipment,8.51,-3.51,0.00,N,0.00
212,Equipment                                    ,6/30/2005,65307.00,65307.00,0.00,65307.00,0.00,200DB,5.0,105,Equipment,8.51,-3.51,0.00,N,0.00
213,Goodwill (Intangible Asset)                  ,8/2/2005,824972.00,407902.80,54998.13,462900.93,362071.07,Amort,15.0,105,Goodwill,8.42,6.58,0.00,N,0.00
214,Goodwill (Management contract)               ,8/2/2005,236084.00,116730.40,15738.93,132469.33,103614.67,Amort,15.0,105,Goodwill,8.42,6.58,0.00,N,0.00
398,Drywall                                      ,4/1/2012,1600.00,41.21,58.18,99.39,1500.61,S/L,27.5,105,Capital Improvements,1.75,25.75,0.00,N,0.00
842,Office Wall and Plumbing                     ,10/1/2012,3207.58,24.30,116.64,140.94,3066.64,S/L,27.5,105,Capital Improvements,1.25,26.25,0.00,N,0.00
909,Signs                                        ,2/1/2012,240.00,144.00,38.40,182.40,57.60,200DB,5.0,105,Capital Improvements,1.92,3.08,0.00,N,0.00
1293,Envelope Pressure Sealer                     ,5/1/2012,8137.33,4882.40,1301.97,6184.37,1952.96,200DB,5.0,105,Equipment,1.67,3.33,0.00,N,0.00
1298,HP Laptop MRutledge                          ,11/14/2012,909.49,545.70,145.52,691.22,218.27,200DB,5.0,105,Equipment,1.13,3.87,0.00,N,0.00
1321,Office Equipment                             ,2/1/2012,10249.34,5856.77,1255.02,7111.79,3137.55,200DB,7.0,105,Equipment,1.92,5.08,0.00,N,0.00
1324,Phone System SP VOIP                         ,1/1/2012,16836.84,10102.10,2693.90,12796.00,4040.84,200DB,5.0,105,Equipment,2.00,3.00,0.00,N,0.00
1334,Telephone-VOIP Camera etc                    ,8/24/2012,62779.74,37667.84,10044.76,47712.60,15067.14,200DB,5.0,105,Equipment,1.35,3.65,0.00,N,0.00
1338,VOIP Panels/Equip JX                         ,2/1/2012,3479.95,2087.97,556.79,2644.76,835.19,200DB,5.0,105,Equipment,1.92,3.08,0.00,N,0.00
2039,Workstations AP                              ,5/1/2012,3786.51,2163.72,463.65,2627.37,1159.14,200DB,7.0,105,Furniture & Fixtures,1.67,5.33,0.00,N,0.00
2168,Dell Network Server                          ,11/30/2006,5970.98,5970.98,0.00,5970.98,0.00,200DB,5.0,105,Equipment,7.09,-2.09,0.00,N,0.00
2179,HP Laserjet Color Printer 3800N              ,2/1/2006,962.99,962.99,0.00,962.99,0.00,200DB,5.0,105,Equipment,7.92,-2.92,0.00,N,0.00
2182,Office Furniture for Compliance Dept         ,9/30/2006,7019.70,6631.25,388.45,7019.70,0.00,200DB,7.0,105,Furniture & Fixtures,7.26,-0.26,0.00,N,0.00
2185,Optiplex desktop                             ,2/28/2006,1261.11,1261.11,0.00,1261.11,0.00,200DB,5.0,105,Equipment,7.84,-2.84,0.00,N,0.00
2186,New laptops                                  ,3/30/2006,3387.23,3387.23,0.00,3387.23,0.00,200DB,5.0,105,Equipment,7.76,-2.76,0.00,N,0.00
2187,New computer                                 ,4/30/2006,2022.80,2022.80,0.00,2022.80,0.00,200DB,5.0,105,Equipment,7.68,-2.68,0.00,N,0.00
2188,New Laptop                                   ,4/30/2006,1888.48,1888.48,0.00,1888.48,0.00,200DB,5.0,105,Equipment,7.68,-2.68,0.00,N,0.00
2189,MMS Postage Machine                          ,6/30/2006,3077.32,3077.32,0.00,3077.32,0.00,200DB,5.0,105,Equipment,7.51,-2.51,0.00,N,0.00
2191,New computers                                ,10/30/2006,3900.70,3900.70,0.00,3900.70,0.00,200DB,5.0,105,Equipment,7.18,-2.18,0.00,N,0.00
2192,Projector                                    ,11/30/2006,866.94,866.94,0.00,866.94,0.00,200DB,5.0,105,Equipment,7.09,-2.09,0.00,N,0.00
2193,New Computer                                 ,11/30/2006,1440.56,1440.56,0.00,1440.56,0.00,200DB,5.0,105,Equipment,7.09,-2.09,0.00,N,0.00
6039,Vestcor Fees-2006                            ,7/1/2006,329501.86,142784.14,21966.79,164750.93,164750.93,Amort,15.0,105,Intangibles,7.51,7.49,0.00,N,0.00
6041,Backup of Hard Drive                         ,8/31/2007,1278.98,1278.98,0.00,1278.98,0.00,200DB,5.0,105,Equipment,6.34,-1.34,0.00,N,0.00
6042,Flat Panel Monitor                           ,8/28/2007,395.90,395.90,0.00,395.90,0.00,200DB,5.0,105,Equipment,6.35,-1.35,0.00,N,0.00
6043,Graphics Adaptor                             ,8/28/2007,94.16,94.16,0.00,94.16,0.00,200DB,5.0,105,Equipment,6.35,-1.35,0.00,N,0.00
6044,B Phillips Laptop                            ,8/17/2007,1798.84,1798.84,0.00,1798.84,0.00,200DB,5.0,105,Equipment,6.38,-1.38,0.00,N,0.00
6045,File Server Installation                     ,9/30/2007,426.32,426.32,0.00,426.32,0.00,200DB,5.0,105,Equipment,6.26,-1.26,0.00,N,0.00
6046,Router for Network                           ,11/13/2007,1018.78,1018.78,0.00,1018.78,0.00,200DB,5.0,105,Equipment,6.14,-1.14,0.00,N,0.00
6047,Computer                                     ,5/15/2007,1122.33,1122.33,0.00,1122.33,0.00,200DB,5.0,105,Equipment,6.64,-1.64,0.00,N,0.00
6048,Computer-Greg                                ,6/15/2007,1670.12,1670.12,0.00,1670.12,0.00,200DB,5.0,105,Equipment,6.55,-1.55,0.00,N,0.00
6050,Levassuer Caleb & VanDuinen Orig Art         ,4/1/2007,6314.61,0.00,0.00,0.00,6314.61,Memo,0.0,105,Artwork,6.76,-6.76,0.00,N,0.00
6051,Artwork                                      ,4/1/2007,402.50,0.00,0.00,0.00,402.50,Memo,0.0,105,Artwork,6.76,-6.76,0.00,N,0.00
6052,Levasseur Original Artwork                   ,4/1/2007,1400.00,0.00,0.00,0.00,1400.00,Memo,0.0,105,Artwork,6.76,-6.76,0.00,N,0.00
6053,Property photos and framework                ,4/1/2007,1434.79,0.00,0.00,0.00,1434.79,Memo,0.0,105,Artwork,6.76,-6.76,0.00,N,0.00
6054,Italian Port artwk purch from W.Hough        ,4/1/2007,940.00,0.00,0.00,0.00,940.00,Memo,0.0,105,Artwork,6.76,-6.76,0.00,N,0.00
6055,Schott artwork and framing                   ,4/1/2007,3000.28,0.00,0.00,0.00,3000.28,Memo,0.0,105,Artwork,6.76,-6.76,0.00,N,0.00
6056,Furniture - Corp Apt SJP                     ,6/15/2007,2000.00,2000.00,0.00,2000.00,0.00,200DB,5.0,105,Furniture & Fixtures,6.55,-1.55,0.00,N,0.00
6057,Conf/Train Rm Table & Buffet Credenza        ,4/1/2007,38751.68,33563.88,3458.53,37022.41,1729.27,200DB,7.0,105,Furniture & Fixtures,6.76,0.24,0.00,N,0.00
6059,Computers for Office                         ,5/15/2007,7970.14,7970.14,0.00,7970.14,0.00,200DB,5.0,105,Equipment,6.64,-1.64,0.00,N,0.00
6060,New Phone System                             ,1/15/2007,15802.96,15802.96,0.00,15802.96,0.00,200DB,5.0,105,Equipment,6.96,-1.96,0.00,N,0.00
6062,Goodwill                                     ,7/1/2007,41619.95,15260.63,2774.66,18035.29,23584.66,Amort,15.0,105,Goodwill,6.51,8.49,0.00,N,0.00
6063,Accounting PCs (2)                           ,1/21/2008,2388.10,2319.32,68.78,2388.10,0.00,200DB,5.0,105,Equipment,5.95,-0.95,0.00,N,0.00
6064,PC - HR                                      ,3/1/2008,1104.78,1072.96,31.82,1104.78,0.00,200DB,5.0,105,Equipment,5.84,-0.84,0.00,N,0.00
6070,Computer M Rutledge                          ,2/2/2009,1678.28,1533.28,96.67,1629.95,48.33,200DB,5.0,105,Equipment,4.91,0.09,0.00,N,0.00
6071,Computer Server                              ,6/1/2009,3644.11,3329.26,209.90,3539.16,104.95,200DB,5.0,105,Equipment,4.59,0.41,0.00,N,0.00
6072,Computer Server Set up Install               ,9/29/2009,4050.00,3700.08,233.28,3933.36,116.64,200DB,5.0,105,Equipment,4.26,0.74,0.00,N,0.00
6073,2 Dell Optiplex Towers                       ,11/21/2009,1687.56,1541.75,97.21,1638.96,48.60,200DB,5.0,105,Equipment,4.11,0.89,0.00,N,0.00
6074,Computer                                     ,12/31/2009,1321.96,1207.74,76.15,1283.89,38.07,200DB,5.0,105,Equipment,4.00,1.00,0.00,N,0.00
6076,Computer Monitors                            ,2/28/2010,1758.82,1505.55,101.31,1606.86,151.96,200DB,5.0,105,Equipment,3.84,1.16,0.00,N,0.00
6077,Troy Check Printer                           ,4/30/2010,817.12,699.45,47.07,746.52,70.60,200DB,5.0,105,Equipment,3.67,1.33,0.00,N,0.00
6079,Crosland Legal Fees (67642)                  ,10/1/2011,39132.00,12228.75,9783.00,22011.75,17120.25,Amort,4.0,105,Intangibles,2.25,1.75,0.00,N,0.00
6096,Crosland Legal Fees (67651)                  ,10/1/2011,90185.00,28182.81,22546.25,50729.06,39455.94,Amort,4.0,105,Intangibles,2.25,1.75,0.00,N,0.00
6097,VOIP Phone System                            ,12/31/2011,105983.00,105983.00,0.00,105983.00,0.00,200DB,5.0,105,Equipment,2.00,3.00,0.00,N,0.00
6098,PM Bldg Leaseholds                           ,10/1/2011,142744.00,142744.00,0.00,142744.00,0.00,S/L,15.0,105,Capital Improvements,2.25,12.75,0.00,N,0.00
6099,Equipment                                    ,6/30/2005,1124.00,1124.00,0.00,1124.00,0.00,200DB,5.0,105,Equipment,8.51,-3.51,0.00,N,0.00
6100,PC-MacBook Pro - St. Pete                    ,2/21/2011,2933.00,2933.00,0.00,2933.00,0.00,200DB,5.0,105,Equipment,2.86,2.14,0.00,N,0.00
1,Washer/Dryer                                 ,6/30/2004,4061.95,4061.95,0.00,4061.95,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
2,Dishwasher                                   ,6/30/2004,1014.80,1014.80,0.00,1014.80,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
3,Capital Improvements                         ,6/30/2004,2080.00,646.09,75.64,721.73,1358.27,S/L,27.5,120,Capital Improvements,9.51,17.99,0.00,N,0.00
4,5 Radios                                     ,6/30/2004,1163.69,1163.69,0.00,1163.69,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
5,Range/Ventahood                              ,6/30/2004,1941.73,1941.73,0.00,1941.73,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
6,Refrigerator/Icemaker                        ,6/30/2004,1174.12,1174.12,0.00,1174.12,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
7,Land                                         ,6/30/2004,1205000.00,0.00,0.00,0.00,1205000.00,Land,0.0,120,Land,9.51,-9.51,0.00,N,0.00
8,Building                                     ,6/30/2004,10845000.00,3368522.76,394363.64,3762886.40,7082113.60,S/L,27.5,120,Building,9.51,17.99,0.00,N,0.00
9,Golf Cart                                    ,6/30/2004,3512.72,3512.72,0.00,3512.72,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
10,HVAC                                         ,6/30/2004,1001.92,809.64,29.58,839.22,162.70,150DB,15.0,120,Capital Improvements,9.51,5.49,0.00,N,0.00
11,Dishwasher                                   ,6/30/2004,761.11,761.11,0.00,761.11,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
12,Landscaping Improvements                     ,6/30/2004,1417.00,1145.07,41.84,1186.91,230.09,150DB,15.0,120,Capital Improvements,9.51,5.49,0.00,N,0.00
13,2 Computers                                  ,6/30/2004,3176.00,3176.00,0.00,3176.00,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
14,Digital Camera                               ,6/30/2004,151.50,151.50,0.00,151.50,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
15,Ozone Machine                                ,6/30/2004,529.31,529.31,0.00,529.31,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
16,Water Heaters                                ,6/30/2004,2640.00,2640.00,0.00,2640.00,0.00,200DB,5.0,120,Equipment,9.51,-4.51,0.00,N,0.00
17,Loan Cost                                    ,6/30/2004,146399.30,146399.30,0.00,146399.30,0.00,Amort,3.0,120,Loan Cost,9.51,-6.51,0.00,N,0.00
18,Range/Ventahood                              ,6/30/2005,3017.63,3017.63,0.00,3017.63,0.00,200DB,5.0,120,Equipment,8.51,-3.51,0.00,N,0.00
19,Washer/Dryer                                 ,6/30/2005,6281.71,6281.71,0.00,6281.71,0.00,200DB,5.0,120,Equipment,8.51,-3.51,0.00,N,0.00
20,Refrigerator/Icemaker                        ,6/30/2005,3156.26,3156.26,0.00,3156.26,0.00,200DB,5.0,120,Equipment,8.51,-3.51,0.00,N,0.00
21,Leaf Blower                                  ,6/30/2005,86.56,86.56,0.00,86.56,0.00,200DB,5.0,120,Equipment,8.51,-3.51,0.00,N,0.00
22,Wet Vac                                      ,6/30/2005,43.27,43.27,0.00,43.27,0.00,200DB,5.0,120,Equipment,8.51,-3.51,0.00,N,0.00
23,Capital Improvements                         ,6/30/2005,332146.00,91088.55,12078.04,103166.59,228979.41,S/L,27.5,120,Capital Improvements,8.51,18.99,0.00,N,0.00
24,Dishwasher                                   ,6/30/2005,5120.36,5120.36,0.00,5120.36,0.00,200DB,5.0,120,Equipment,8.51,-3.51,0.00,N,0.00
25,HVAC                                         ,6/30/2005,351.77,96.46,12.79,109.25,242.52,S/L,27.5,120,Capital Improvements,8.51,18.99,0.00,N,0.00
26,Fax Machine                                  ,6/30/2005,153.15,153.15,0.00,153.15,0.00,200DB,5.0,120,Equipment,8.51,-3.51,0.00,N,0.00
27,Desk                                         ,6/30/2005,432.99,432.99,0.00,432.99,0.00,200DB,5.0,120,Furniture & Fixtures,8.51,-3.51,0.00,N,0.00
28,Office Chair                                 ,6/30/2005,140.71,140.71,0.00,140.71,0.00,200DB,5.0,120,Furniture & Fixtures,8.51,-3.51,0.00,N,0.00
29,Land Improvement / Landscape                 ,6/30/2005,71905.81,40061.07,4245.97,44307.04,27598.77,150DB,15.0,120,Capital Improvements,8.51,6.49,0.00,N,0.00
30,Signage                                      ,6/30/2005,13448.00,3688.02,489.02,4177.04,9270.96,S/L,27.5,120,Capital Improvements,8.51,18.99,0.00,N,0.00
31,Office Improvements/Pool Area                ,6/30/2005,84330.00,84330.00,0.00,84330.00,0.00,200DB,7.0,120,Capital Improvements,8.51,-1.51,0.00,N,0.00
32,Appliances                                   ,6/30/2005,27872.00,27872.00,0.00,27872.00,0.00,200DB,5.0,120,Capital Improvements,8.51,-3.51,0.00,N,0.00
33,120_a/c unit                                 ,9/20/2007,605.12,116.42,22.00,138.42,466.70,S/L,27.5,120,Equipment,6.28,21.22,0.00,N,0.00
34,120_1.5 ton a/c u                            ,10/9/2007,588.22,111.41,21.39,132.80,455.42,S/L,27.5,120,Equipment,6.23,21.27,0.00,N,0.00
35,120_2 floor mats                             ,10/30/2007,355.34,355.34,0.00,355.34,0.00,200DB,5.0,120,Equipment,6.18,-1.18,0.00,N,0.00
36,120_condensor                                ,11/13/2007,588.22,109.62,21.39,131.01,457.21,S/L,27.5,120,Equipment,6.14,21.36,0.00,N,0.00
37,120_replace circlulator                      ,12/11/2007,1025.75,188.05,37.30,225.35,800.40,S/L,27.5,120,Equipment,6.06,21.44,0.00,N,0.00
38,120_E_Dishwasher                             ,3/15/2007,791.70,791.70,0.00,791.70,0.00,200DB,5.0,120,Equipment,6.80,-1.80,0.00,N,0.00
39,120_E_Recreational equipment                 ,3/15/2007,2461.91,2461.91,0.00,2461.91,0.00,200DB,5.0,120,Equipment,6.80,-1.80,0.00,N,0.00
40,120_E_Refrigerator/Icemaker                  ,3/15/2007,533.60,533.60,0.00,533.60,0.00,200DB,5.0,120,Equipment,6.80,-1.80,0.00,N,0.00
41,120_E_Residential Equipment                  ,3/15/2007,2592.59,2592.59,0.00,2592.59,0.00,200DB,5.0,120,Equipment,6.80,-1.80,0.00,N,0.00
42,120_E_Dishwasher                             ,4/15/2007,250.45,250.45,0.00,250.45,0.00,200DB,5.0,120,Equipment,6.72,-1.72,0.00,N,0.00
43,120_E_Washer/Dryer                           ,4/15/2007,321.11,321.11,0.00,321.11,0.00,200DB,5.0,120,Equipment,6.72,-1.72,0.00,N,0.00
44,120_E_Dishwasher                             ,5/15/2007,751.34,751.34,0.00,751.34,0.00,200DB,5.0,120,Equipment,6.64,-1.64,0.00,N,0.00
45,120_E_Refrigerator/Icemaker                  ,5/15/2007,544.98,544.98,0.00,544.98,0.00,200DB,5.0,120,Equipment,6.64,-1.64,0.00,N,0.00
46,120_Refrigerator                             ,6/13/2007,465.56,465.56,0.00,465.56,0.00,200DB,5.0,120,Equipment,6.56,-1.56,0.00,N,0.00
47,120_Refrigerator                             ,6/13/2007,989.32,989.32,0.00,989.32,0.00,200DB,5.0,120,Equipment,6.56,-1.56,0.00,N,0.00
48,120_A/C Unit                                 ,6/30/2007,605.12,121.92,22.00,143.92,461.20,S/L,27.5,120,Equipment,6.51,20.99,0.00,N,0.00
49,120_Range                                    ,6/30/2007,431.56,431.56,0.00,431.56,0.00,200DB,5.0,120,Equipment,6.51,-1.51,0.00,N,0.00
50,120_2 frig and icem                          ,8/22/2007,1089.97,1089.97,0.00,1089.97,0.00,200DB,5.0,120,Equipment,6.36,-1.36,0.00,N,0.00
51,120_2- new frig #23                          ,8/16/2007,926.27,926.27,0.00,926.27,0.00,200DB,5.0,120,Equipment,6.38,-1.38,0.00,N,0.00
52,120_icemaker                                 ,8/15/2007,250.36,250.36,0.00,250.36,0.00,200DB,5.0,120,Equipment,6.38,-1.38,0.00,N,0.00
53,120_Purchased-dishwasher                     ,8/24/2007,249.14,249.14,0.00,249.14,0.00,200DB,5.0,120,Equipment,6.36,-1.36,0.00,N,0.00
54,120_#324 dishwasher                          ,8/9/2007,249.14,249.14,0.00,249.14,0.00,200DB,5.0,120,Equipment,6.40,-1.40,0.00,N,0.00
55,120_new washer                               ,9/5/2007,1175.40,1175.40,0.00,1175.40,0.00,200DB,5.0,120,Equipment,6.33,-1.33,0.00,N,0.00
56,120_new washer                               ,9/5/2007,346.31,346.31,0.00,346.31,0.00,200DB,5.0,120,Equipment,6.33,-1.33,0.00,N,0.00
57,120_new d/w                                  ,9/13/2007,249.14,249.14,0.00,249.14,0.00,200DB,5.0,120,Equipment,6.30,-1.30,0.00,N,0.00
58,120_new dishwasher                           ,9/13/2007,249.14,249.14,0.00,249.14,0.00,200DB,5.0,120,Equipment,6.30,-1.30,0.00,N,0.00
59,120_new ranges #121                          ,10/17/2007,783.60,783.60,0.00,783.60,0.00,200DB,5.0,120,Equipment,6.21,-1.21,0.00,N,0.00
60,120_new frig w/ ice                          ,10/25/2007,1626.45,1626.45,0.00,1626.45,0.00,200DB,5.0,120,Equipment,6.19,-1.19,0.00,N,0.00
61,120_2 dishewashers                           ,10/18/2007,518.95,518.95,0.00,518.95,0.00,200DB,5.0,120,Equipment,6.21,-1.21,0.00,N,0.00
62,120_new dishwasher                           ,10/17/2007,498.27,498.27,0.00,498.27,0.00,200DB,5.0,120,Equipment,6.21,-1.21,0.00,N,0.00
63,120_new waser                                ,8/20/2007,346.31,346.31,0.00,346.31,0.00,200DB,5.0,120,Equipment,6.37,-1.37,0.00,N,0.00
64,120_new dishwasher                           ,10/25/2007,498.28,498.28,0.00,498.28,0.00,200DB,5.0,120,Equipment,6.19,-1.19,0.00,N,0.00
65,120_refrigerator                             ,11/14/2007,542.15,542.15,0.00,542.15,0.00,200DB,5.0,120,Equipment,6.13,-1.13,0.00,N,0.00
66,120_2 refrigerators                          ,11/14/2007,1084.30,1084.30,0.00,1084.30,0.00,200DB,5.0,120,Equipment,6.13,-1.13,0.00,N,0.00
67,120_2 Dishwashers                            ,11/1/2007,498.27,498.27,0.00,498.27,0.00,200DB,5.0,120,Equipment,6.17,-1.17,0.00,N,0.00
68,120_3 dishwashers                            ,11/1/2007,747.41,747.41,0.00,747.41,0.00,200DB,5.0,120,Equipment,6.17,-1.17,0.00,N,0.00
69,120_dishwasher                               ,11/1/2007,346.31,346.31,0.00,346.31,0.00,200DB,5.0,120,Equipment,6.17,-1.17,0.00,N,0.00
70,120_dishwasher                               ,11/6/2007,249.14,249.14,0.00,249.14,0.00,200DB,5.0,120,Equipment,6.16,-1.16,0.00,N,0.00
71,120_Update 1 Bedroom Model                   ,9/6/2007,2706.25,2706.25,0.00,2706.25,0.00,200DB,5.0,120,Furniture & Fixtures,6.32,-1.32,0.00,N,0.00
72,120_Replacmnt of phone unit                  ,10/16/2007,713.37,713.37,0.00,713.37,0.00,200DB,5.0,120,Furniture & Fixtures,6.21,-1.21,0.00,N,0.00
73,120_Washer                                   ,5/1/2008,358.53,348.20,10.33,358.53,0.00,200DB,5.0,120,Equipment,5.67,-0.67,0.00,N,0.00
74,120_Washer                                   ,8/12/2008,375.26,364.45,10.81,375.26,0.00,200DB,5.0,120,Equipment,5.39,-0.39,0.00,N,0.00
75,120_Washer                                   ,10/13/2008,375.26,364.45,10.81,375.26,0.00,200DB,5.0,120,Equipment,5.22,-0.22,0.00,N,0.00
76,120_Washer/dryer                             ,1/1/2008,598.15,580.92,17.23,598.15,0.00,200DB,5.0,120,Equipment,6.00,-1.00,0.00,N,0.00
77,120_Washer/Dryer                             ,4/10/2008,668.72,649.46,19.26,668.72,0.00,200DB,5.0,120,Equipment,5.73,-0.73,0.00,N,0.00
78,120_Washer/Dryer                             ,12/30/2008,739.15,717.86,21.29,739.15,0.00,200DB,5.0,120,Equipment,5.01,-0.01,0.00,N,0.00
79,120_Washers/Dryers                           ,11/24/2008,2209.99,2146.34,63.65,2209.99,0.00,200DB,5.0,120,Equipment,5.10,-0.10,0.00,N,0.00
80,120_Washers-2                                ,7/8/2008,754.46,732.73,21.73,754.46,0.00,200DB,5.0,120,Equipment,5.48,-0.48,0.00,N,0.00
81,120_Washers-3                                ,3/10/2008,1075.57,1044.59,30.98,1075.57,0.00,200DB,5.0,120,Equipment,5.81,-0.81,0.00,N,0.00
82,120_Wood flooring @office                    ,3/10/2008,1933.94,1878.24,55.70,1933.94,0.00,200DB,5.0,120,Capital Improvements,5.81,-0.81,0.00,N,0.00
83,30 electric range                            ,10/26/2006,322.40,322.40,0.00,322.40,0.00,200DB,5.0,120,Equipment,7.19,-2.19,0.00,N,0.00
84,Washer/Dryer                                 ,11/1/2006,636.51,636.51,0.00,636.51,0.00,200DB,5.0,120,Furniture & Fixtures,7.17,-2.17,0.00,N,0.00
85,refrigerater                                 ,11/3/2006,517.47,517.47,0.00,517.47,0.00,200DB,5.0,120,Furniture & Fixtures,7.16,-2.16,0.00,N,0.00
86,dishwasher                                   ,1/1/2006,527.79,527.79,0.00,527.79,0.00,200DB,5.0,120,Equipment,8.00,-3.00,0.00,N,0.00
87,refrigerater                                 ,1/1/2006,517.47,517.47,0.00,517.47,0.00,200DB,5.0,120,Furniture & Fixtures,8.00,-3.00,0.00,N,0.00
88,1.5 ton seer unit                            ,9/26/2006,578.99,132.44,21.05,153.49,425.50,S/L,27.5,120,Equipment,7.27,20.23,0.00,N,0.00
89,dishwasher                                   ,10/5/2006,263.90,263.90,0.00,263.90,0.00,200DB,5.0,120,Equipment,7.24,-2.24,0.00,N,0.00
90,ice maker                                    ,10/5/2006,67.15,67.15,0.00,67.15,0.00,200DB,5.0,120,Equipment,7.24,-2.24,0.00,N,0.00
91,1.5 ton seer unit                            ,10/5/2006,578.99,130.69,21.05,151.74,427.25,S/L,27.5,120,Equipment,7.24,20.26,0.00,N,0.00
92,washer                                       ,10/17/2006,345.32,345.32,0.00,345.32,0.00,200DB,5.0,120,Equipment,7.21,-2.21,0.00,N,0.00
93,refrigerator                                 ,10/17/2006,517.46,517.46,0.00,517.46,0.00,200DB,5.0,120,Equipment,7.21,-2.21,0.00,N,0.00
94,dishwasher                                   ,8/18/2006,263.90,263.90,0.00,263.90,0.00,200DB,5.0,120,Equipment,7.38,-2.38,0.00,N,0.00
